Suite,Method,Categories,Shape,Length,Count,Url,Mean,Error,StdDev,Ratio,Allocated,Source
DependencyBenchmarks,JoinOld,Join,,256,,,74.743 ns,3.1710 ns,0.8235 ns,1.00,1568 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,JoinNew,Join,,256,,,51.614 ns,2.6011 ns,0.6755 ns,0.69,1568 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,JoinOld,Join,,4096,,,647.134 ns,52.4797 ns,8.1213 ns,1.00,24608 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,JoinNew,Join,,4096,,,440.660 ns,28.8464 ns,7.4913 ns,0.68,24608 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashOld,Sha256Hex,,16,,,156.602 ns,8.7953 ns,2.2841 ns,1.00,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashNew,Sha256Hex,,16,,,145.389 ns,2.7273 ns,0.7083 ns,0.93,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashOld,Sha256Hex,,256,,,263.631 ns,5.1932 ns,1.3486 ns,1.00,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashNew,Sha256Hex,,256,,,252.982 ns,6.7220 ns,1.7457 ns,0.96,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashOld,Sha256Hex,,4096,,,"1,814.738 ns",60.4923 ns,9.3613 ns,1.00,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,HashNew,Sha256Hex,,4096,,,"1,800.392 ns",47.3964 ns,12.3087 ns,0.99,152 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitOld,SplitRanges,,16,,,11.654 ns,0.8150 ns,0.2116 ns,1.00,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitNew,SplitRanges,,16,,,11.662 ns,0.3575 ns,0.0928 ns,1.00,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitOld,SplitRanges,,256,,,212.330 ns,27.9779 ns,7.2658 ns,1.00,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitNew,SplitRanges,,256,,,18.158 ns,0.3891 ns,0.0602 ns,0.09,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitOld,SplitRanges,,4096,,,"2,507.595 ns",23.4949 ns,3.6359 ns,1.00,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SplitNew,SplitRanges,,4096,,,97.495 ns,1.0461 ns,0.2717 ns,0.04,0 B,final/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SafeOld,AsciiSafe,,16,,,12.051 ns,0.2569 ns,0.0667 ns,1.00,0 B,refinement/results/DependencyBenchmarks-report.csv
DependencyBenchmarks,SafeNew,AsciiSafe,,16,,,9.581 ns,0.0855 ns,0.0132 ns,0.80,0 B,refinement/results/DependencyBenchmarks-report.csv
